customer_id,name,company,email,subscription_plan,mrr,signup_date,subscription_age_months,total_tickets,unresolved_tickets,escalated_tickets,avg_csat,avg_resolution_hours,payment_delay_days,product_usage_score,health_score,churn_risk_score,churn_flag
CUST-0001,Morgan Smith,Horizon Labs,morgan.smith@horizonlabs.com,Pro,199.0,2025-05-06,14,5,2,4,2.4,15.47,0,73.4,20,79.46,0
CUST-0002,Sophia Brown,ByteWorks,sophia.brown@byteworks.com,Starter,49.0,2025-10-10,8,6,3,0,2.83,13.87,0,46.7,53,46.66,0
CUST-0003,Siddharth Jones,DataFlow,siddharth.jones@dataflow.com,Starter,49.0,2025-05-07,14,10,4,2,3.4,13.23,0,93.2,34,65.48,0
CUST-0004,Sophia Jones,TechPulse,sophia.jones@techpulse.com,Enterprise,799.0,2025-09-01,10,10,6,3,2.2,13.18,0,92.5,0,100.0,1
CUST-0005,Riley Garcia,ByteWorks,riley.garcia@byteworks.com,Pro,199.0,2025-09-04,10,5,1,0,3.2,14.78,0,62.6,73,26.14,0
CUST-0006,Olivia Williams,ByteWorks,olivia.williams@byteworks.com,Enterprise,799.0,2025-10-26,8,10,4,3,3.1,20.08,25,59.1,3,96.29,1
CUST-0007,Alex Brown,Apex Global,alex.brown@apexglobal.com,Enterprise,799.0,2025-03-18,15,10,3,2,3.2,29.49,7,49.9,32,67.61,0
CUST-0008,Liam Brown,ByteWorks,liam.brown@byteworks.com,Enterprise,799.0,2025-04-08,14,6,3,2,3.17,34.4,25,78.5,24,75.82,0
CUST-0009,Chris Williams,DataFlow,chris.williams@dataflow.com,Enterprise,799.0,2025-06-21,12,3,0,1,3.0,17.23,0,29.1,66,33.09,0
CUST-0010,Liam Kim,Acme Corp,liam.kim@acmecorp.com,Enterprise,799.0,2025-05-08,13,3,2,1,1.67,60.8,25,65.1,20,79.16,0
CUST-0011,Casey Kim,Apex Global,casey.kim@apexglobal.com,Enterprise,799.0,2025-05-27,13,5,4,3,2.0,11.7,0,54.1,9,90.59,1
CUST-0012,Emily Smith,ByteWorks,emily.smith@byteworks.com,Pro,199.0,2025-07-27,11,4,1,1,3.75,16.37,0,77.5,69,30.25,0
CUST-0013,Jordan Smith,CloudScale,jordan.smith@cloudscale.com,Starter,49.0,2025-01-11,17,4,2,2,2.5,35.4,0,42.8,38,61.72,0
